index,tag,depth,id,classes,attrs,inner_text_len
212,dd,10,,abilities,{},17
213,span,11,,ability-label,{},8
214,span,11,,ability-label,{},8
215,span,9,,notch-bottom-center-small,{},0
216,a,8,,block-link,"{""href"": ""/us/pokedex/drowzee"", ""title"": ""Drowzee"", ""style"": ""background-color: #fff; opacity: 0;""}",15
217,span,9,,offscreen,{},15
218,li,7,,,"{""data-analytics-label"": ""Shiftry | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",72
219,div,8,,pokedex-bg,{},3
220,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/275.png"", ""alt"": ""Shiftry""}",0
221,div,8,,mini-profile,{},54
222,h5,9,,,{},10
223,span,10,,pokedex,{},3
224,dl,9,,,{},44
225,dt,10,,,{},4
226,dd,10,,types,{},9
227,span,11,,type-label background-color-grass,{},5
228,span,11,,type-label background-color-dark,{},4
229,dt,10,,,{},9
230,dd,10,,abilities,{},22
231,span,11,,ability-label,{},11
232,span,11,,ability-label,{},10
233,span,9,,notch-bottom-center-small,{},0
234,a,8,,block-link,"{""href"": ""/us/pokedex/shiftry"", ""title"": ""Shiftry"", ""style"": ""background-color: #fff; opacity: 0;""}",15
235,span,9,,offscreen,{},15
236,li,7,,,"{""data-analytics-label"": ""Brionne | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",53
237,div,8,,pokedex-bg,{},3
238,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/729.png"", ""alt"": ""Brionne""}",0
239,div,8,,mini-profile,{},35
240,h5,9,,,{},10
241,span,10,,pokedex,{},3
242,dl,9,,,{},25
243,dt,10,,,{},4
244,dd,10,,types,{},5
245,span,11,,type-label background-color-water,{},5
246,dt,10,,,{},9
247,dd,10,,abilities,{},7
248,span,11,,ability-label,{},7
249,span,9,,notch-bottom-center-small,{},0
250,a,8,,block-link,"{""href"": ""/us/pokedex/brionne"", ""title"": ""Brionne"", ""style"": ""background-color: #fff; opacity: 0;""}",15
251,span,9,,offscreen,{},15
252,li,7,,,"{""data-analytics-label"": ""Cranidos | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",59
253,div,8,,pokedex-bg,{},3
254,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/408.png"", ""alt"": ""Cranidos""}",0
255,div,8,,mini-profile,{},40
256,h5,9,,,{},11
257,span,10,,pokedex,{},3
258,dl,9,,,{},29
259,dt,10,,,{},4
260,dd,10,,types,{},4
261,span,11,,type-label background-color-rock,{},4
262,dt,10,,,{},9
263,dd,10,,abilities,{},12
264,span,11,,ability-label,{},12
265,span,9,,notch-bottom-center-small,{},0
266,a,8,,block-link,"{""href"": ""/us/pokedex/cranidos"", ""title"": ""Cranidos"", ""style"": ""background-color: #fff; opacity: 0;""}",16
267,span,9,,offscreen,{},16
268,li,7,,,"{""data-analytics-label"": ""Pidgeotto | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",76
269,div,8,,pokedex-bg,{},2
270,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/017.png"", ""alt"": ""Pidgeotto""}",0
271,div,8,,mini-profile,{},57
272,h5,9,,,{},11
273,span,10,,pokedex,{},2
274,dl,9,,,{},46
275,dt,10,,,{},4
276,dd,10,,types,{},12
277,span,11,,type-label background-color-normal,{},6
278,span,11,,type-label background-color-flying,{},6
279,dt,10,,,{},9
280,dd,10,,abilities,{},21
281,span,11,,ability-label,{},8
282,span,11,,ability-label,{},12
283,span,9,,notch-bottom-center-small,{},0
